,id,authors,title,tags,doc_type,publisher,venue_name,venue_ID,references
44,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,1576280218.0
45,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,1757586515.0
46,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,2111628838.0
47,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,2132405304.0
48,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,2146489173.0
49,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,2155887462.0
50,11895,"Minoru Shigenaga,Yoshihiro Sekiguchi",Speech training systems using lateral shapes of vocal tract and F1-F2 diagram for hearing-impaired children,"Speech training,Computer science,Microprocessor,Minicomputer,Diagram,Speech recognition,Vowel,Formant,Vocal tract",Conference,Morgan Kaufmann Publishers Inc.,International Joint Conference on Artificial Intelligence,1203999783.0,
51,12993,"Reiko Heckel,Tom Mens,Michel Wermelinger",Software Evolution through Transformations.,"Software engineering,Computer science,Theoretical computer science,Software evolution",Journal,,Electronic Notes in Theoretical Computer Science,50368787.0,
52,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,113189947.0
53,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,1521160879.0
